dates,weights,month,day
2/21/22,239.1,2,21
2/22/22,240.5,2,22
2/23/22,244.1,2,23
2/25/22,244.4,2,25
2/27/22,239.5,2,27
2/28/22,240.2,2,28
3/1/22,240.6,3,1
3/10/22,243.7,3,10
3/11/22,244.1,3,11
3/12/22,242.4,3,12
3/14/22,241.5,3,14
3/15/22,244.3,3,15
3/17/22,243.6,3,17
3/18/22,243.0,3,18
3/19/22,243.9,3,19
3/2/22,238.8,3,2
3/20/22,243.5,3,20
3/21/22,244.4,3,21
3/22/22,243.0,3,22
3/23/22,241.4,3,23
3/23/22,241.4,3,23
3/24/22,243.6,3,24
3/25/22,244.2,3,25
3/26/22,242.6,3,26
3/27/22,242.3,3,27
3/28/22,244.1,3,28
3/29/22,241.7,3,29
3/30/22,243.9,3,30
3/31/22,243.2,3,31
3/4/22,243.9,3,4
3/8/22,239.4,3,8
3/9/22,240.4,3,9
3/9/22,240.4,3,9
4/1/22,243.2,4,1
4/10/22,246.3,4,10
4/11/22,242.2,4,11
4/12/22,243.6,4,12
4/12/22,242.3,4,12
4/13/22,243.7,4,13
4/14/22,241.6,4,14
4/15/22,242.3,4,15
4/16/22,243.6,4,16
4/17/22,242.9,4,17
4/18/22,241.3,4,18
4/19/22,243.2,4,19
4/2/22,242.4,4,2
4/20/22,244.0,4,20
4/21/22,246.0,4,21
4/22/22,242.0,4,22
4/23/22,245.7,4,23
4/24/22,242.8,4,24
4/25/22,243.3,4,25
4/26/22,243.8,4,26
4/27/22,245.3,4,27
4/28/22,242.0,4,28
4/29/22,242.2,4,29
4/30/22,242.9,4,30
4/4/22,245.9,4,4
4/5/22,245.9,4,5
4/6/22,246.8,4,6
4/7/22,242.4,4,7
4/8/22,244.1,4,8
4/9/22,243.2,4,9
5/01/22,242.2,5,01
5/02/22,238.3,5,02
5/03/22,242.6,5,03
5/04/22,242.3,5,04
5/05/22,242.0,5,05
5/06/22,240.1,5,06
5/07/22,241.4,5,07
5/08/22,244.3,5,08
5/09/22,243.3,5,09
5/10/22,241.2,5,10
5/11/22,243.7,5,11
5/12/22,243.9,5,12
5/13/22,241.7,5,13
5/13/22,240.5,5,13
5/14/22,241.0,5,14
5/15/22,239.1,5,15
5/18/22,240.1,5,18
5/19/22,237.8,5,19
5/19/22,240.3,5,19
5/20/22,237.8,5,20
5/21/22,239.5,5,21
5/22/22,238.5,5,22
5/23/22,239.1,5,23
5/24/22,237.7,5,24
5/25/22,238.3,5,25
5/26/22,235.9,5,26
5/28/22,237.6,5,28
5/29/22,238.3,5,29
5/30/22,235.2,5,30
5/31/22,237.5,5,31
6/1/22,237.7,6,1
6/10/22,237.8,6,10
6/11/22,237.0,6,11
6/12/22,236.9,6,12
6/13/22,237.5,6,13
6/14/22,237.2,6,14
6/15/22,234.7,6,15
6/16/22,236.4,6,16
6/17/22,235.8,6,17
6/18/22,237.9,6,18
6/19/22,236.1,6,19
6/2/22,235.7,6,2
6/20/22,239.2,6,20
6/21/22,236.6,6,21
6/22/22,234.2,6,22
6/23/22,237.6,6,23
6/24/22,236.0,6,24
6/25/22,234.8,6,25
6/26/22,237.8,6,26
6/28/22,237.5,6,28
6/29/22,235.4,6,29
6/3/22,236.7,6,3
6/30/22,237.5,6,30
6/31/22,238.3,6,31
6/4/22,235.1,6,4
6/5/22,234.7,6,5
6/6/22,234.3,6,6
6/7/22,232.9,6,7
6/7/22,234.1,6,7
6/8/22,236.6,6,8
6/9/22,235.0,6,9
7/1/22,237.8,7,1
7/1/22,235.7,7,1
7/1/22,239.9,7,1
7/10/22,237.5,7,10
7/12/22,235.3,7,12
7/13/22,235.4,7,13
7/13/22,234.1,7,13
7/14/22,234.0,7,14
7/15/22,234.0,7,15
7/16/22,235.3,7,16
7/17/22,236.2,7,17
7/18/22,237.0,7,18
7/19/22,23,7,19
7/19/22,23,7,19
7/19/22,23,7,19
7/19/22,233.2,7,19
7/2/22,235.2,7,2
7/20/22,233.5,7,20
7/21/22,234.6,7,21
7/22/22,233.7,7,22
7/23/22,235.2,7,23
7/24/22,235.6,7,24
7/25/22,234.2,7,25
7/26/22,234.6,7,26
7/27/22,233.5,7,27
7/28/22,234.8,7,28
7/29/22,237.7,7,29
7/3/22,236.5,7,3
7/30/22,235.9,7,30
7/31/22,240.5,7,31
7/4/22,236.6,7,4
7/5/22,235.5,7,5
7/6/22,237.4,7,6
7/7/22,235.6,7,7
7/8/22,235.0,7,8
7/9/22,236.3,7,9
8/1/22,238.0,8,1
8/10/22,231.5,8,10
8/11/22,230.5,8,11
8/12/22,231.0,8,12
8/13/22,232.7,8,13
8/14/22,232.1,8,14
8/15/22,231.2,8,15
8/16/22,230.0,8,16
8/18/22,228.3,8,18
8/19/22,228.5,8,19
8/2/22,234.4,8,2
8/20/22,227.6,8,20
8/21/22,230.8,8,21
8/22/22,230.3,8,22
8/23/22,230.6,8,23
8/3/22,238.8,8,3
8/4/22,237.2,8,4
8/5/22,230.4,8,5
8/6/22,234.6,8,6
8/7/22,232.5,8,7
8/8/22,231.5,8,8
8/9/22,231.0,8,9
