weights,dates,month,day
239.1,2022-02-21,2,21
240.5,2022-02-22,2,22
244.1,2022-02-23,2,23
244.25,2022-02-24,2,24
244.4,2022-02-25,2,25
241.95,2022-02-26,2,26
239.5,2022-02-27,2,27
240.2,2022-02-28,2,28
240.6,2022-03-01,3,1
238.8,2022-03-02,3,2
241.35000000000002,2022-03-03,3,3
243.9,2022-03-04,3,4
241.65,2022-03-05,3,5
241.65,2022-03-06,3,6
241.65,2022-03-07,3,7
239.4,2022-03-08,3,8
240.4,2022-03-09,3,9
243.7,2022-03-10,3,10
244.1,2022-03-11,3,11
242.4,2022-03-12,3,12
241.95,2022-03-13,3,13
241.5,2022-03-14,3,14
244.3,2022-03-15,3,15
243.95,2022-03-16,3,16
243.6,2022-03-17,3,17
243.0,2022-03-18,3,18
243.9,2022-03-19,3,19
243.5,2022-03-20,3,20
244.4,2022-03-21,3,21
243.0,2022-03-22,3,22
241.4,2022-03-23,3,23
243.6,2022-03-24,3,24
244.2,2022-03-25,3,25
242.6,2022-03-26,3,26
242.3,2022-03-27,3,27
244.1,2022-03-28,3,28
241.7,2022-03-29,3,29
243.9,2022-03-30,3,30
243.2,2022-03-31,3,31
243.2,2022-04-01,4,1
242.4,2022-04-02,4,2
244.15,2022-04-03,4,3
245.9,2022-04-04,4,4
245.9,2022-04-05,4,5
246.8,2022-04-06,4,6
242.4,2022-04-07,4,7
244.1,2022-04-08,4,8
243.2,2022-04-09,4,9
246.3,2022-04-10,4,10
242.2,2022-04-11,4,11
242.95,2022-04-12,4,12
243.7,2022-04-13,4,13
241.6,2022-04-14,4,14
242.3,2022-04-15,4,15
243.6,2022-04-16,4,16
242.9,2022-04-17,4,17
241.3,2022-04-18,4,18
243.2,2022-04-19,4,19
244.0,2022-04-20,4,20
246.0,2022-04-21,4,21
242.0,2022-04-22,4,22
245.7,2022-04-23,4,23
242.8,2022-04-24,4,24
243.3,2022-04-25,4,25
243.8,2022-04-26,4,26
245.3,2022-04-27,4,27
242.0,2022-04-28,4,28
242.2,2022-04-29,4,29
242.9,2022-04-30,4,30
242.2,2022-05-01,5,1
238.3,2022-05-02,5,2
242.6,2022-05-03,5,3
242.3,2022-05-04,5,4
242.0,2022-05-05,5,5
240.1,2022-05-06,5,6
241.4,2022-05-07,5,7
244.3,2022-05-08,5,8
243.3,2022-05-09,5,9
241.2,2022-05-10,5,10
243.7,2022-05-11,5,11
243.9,2022-05-12,5,12
241.1,2022-05-13,5,13
241.0,2022-05-14,5,14
239.1,2022-05-15,5,15
239.6,2022-05-16,5,16
239.6,2022-05-17,5,17
240.1,2022-05-18,5,18
239.05,2022-05-19,5,19
237.8,2022-05-20,5,20
239.5,2022-05-21,5,21
238.5,2022-05-22,5,22
239.1,2022-05-23,5,23
237.7,2022-05-24,5,24
238.3,2022-05-25,5,25
235.9,2022-05-26,5,26
236.75,2022-05-27,5,27
237.6,2022-05-28,5,28
238.3,2022-05-29,5,29
235.2,2022-05-30,5,30
237.5,2022-05-31,5,31
237.7,2022-06-01,6,1
235.7,2022-06-02,6,2
236.7,2022-06-03,6,3
235.1,2022-06-04,6,4
234.7,2022-06-05,6,5
234.3,2022-06-06,6,6
233.5,2022-06-07,6,7
236.6,2022-06-08,6,8
235.0,2022-06-09,6,9
237.8,2022-06-10,6,10
237.0,2022-06-11,6,11
236.9,2022-06-12,6,12
237.5,2022-06-13,6,13
237.2,2022-06-14,6,14
234.7,2022-06-15,6,15
236.4,2022-06-16,6,16
235.8,2022-06-17,6,17
237.9,2022-06-18,6,18
236.1,2022-06-19,6,19
239.2,2022-06-20,6,20
236.6,2022-06-21,6,21
234.2,2022-06-22,6,22
237.6,2022-06-23,6,23
236.0,2022-06-24,6,24
234.8,2022-06-25,6,25
237.8,2022-06-26,6,26
237.5,2022-06-27,6,27
235.4,2022-06-28,6,28
237.5,2022-06-29,6,29
238.3,2022-06-30,6,30
237.79999999999998,2022-07-01,7,1
235.2,2022-07-02,7,2
236.5,2022-07-03,7,3
236.6,2022-07-04,7,4
235.5,2022-07-05,7,5
237.4,2022-07-06,7,6
235.6,2022-07-07,7,7
235.0,2022-07-08,7,8
236.3,2022-07-09,7,9
237.5,2022-07-10,7,10
236.4,2022-07-11,7,11
235.3,2022-07-12,7,12
234.75,2022-07-13,7,13
234.0,2022-07-14,7,14
234.0,2022-07-15,7,15
235.3,2022-07-16,7,16
236.2,2022-07-17,7,17
237.0,2022-07-18,7,18
233.2,2022-07-19,7,19
233.5,2022-07-20,7,20
234.6,2022-07-21,7,21
233.7,2022-07-22,7,22
235.2,2022-07-23,7,23
235.6,2022-07-24,7,24
234.2,2022-07-25,7,25
234.6,2022-07-26,7,26
233.5,2022-07-27,7,27
234.8,2022-07-28,7,28
237.7,2022-07-29,7,29
235.9,2022-07-30,7,30
240.5,2022-07-31,7,31
238.0,2022-08-01,8,1
234.4,2022-08-02,8,2
238.8,2022-08-03,8,3
237.2,2022-08-04,8,4
230.4,2022-08-05,8,5
234.6,2022-08-06,8,6
232.5,2022-08-07,8,7
231.5,2022-08-08,8,8
231.0,2022-08-09,8,9
231.5,2022-08-10,8,10
230.5,2022-08-11,8,11
231.0,2022-08-12,8,12
232.7,2022-08-13,8,13
232.1,2022-08-14,8,14
231.2,2022-08-15,8,15
230.0,2022-08-16,8,16
229.15,2022-08-17,8,17
228.3,2022-08-18,8,18
228.5,2022-08-19,8,19
227.6,2022-08-20,8,20
230.8,2022-08-21,8,21
230.3,2022-08-22,8,22
230.6,2022-08-23,8,23
